TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.
These Days,Wet,2016-01-29,135,8,32,-14,11,266,94,41
Things Change,Busty and the Bass,2017-09-08,62,46,67,-7,50,274,42,39
Thinking 'Bout You,Dua Lipa,2017-06-02,91,48,80,-5,47,172,9,54
Thirteen,Big Star,1972,117,27,46,-14,35,155,67,54
This Is How I Let You Down,The Franklin Electric,2014-05-06,120,22,58,-12,16,227,78,0
Threnody,Goldmund,2008-09-05,85,1,22,-31,17,281,99,58
Throes,Half Moon Run,2015-08-07,127,6,34,-24,13,54,99,38
To Me,Alina Baraz,2020-04-24,78,56,28,-10,4,257,42,62
To the Sea (feat. Rosie Carney),Seafret,2016-01-29,118,28,64,-10,32,198,78,47
Today Is a Gift,Beowülf,2018-01-03,142,31,76,-16,51,155,56,26
Too Much,Carly Rae Jepsen,2019-05-17,90,51,56,-7,73,197,6,41
Trampoline,SHAED,2018-09-21,127,41,69,-8,54,184,49,72
Turning Out,AJR,2017-06-09,97,52,60,-5,39,261,16,1
U're Mine,Kina,2018-03-03,100,15,69,-20,27,138,72,13
urs,NIKI,2019-05-17,95,42,72,-10,24,157,83,66
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse,2007-01-01,96,37,76,-6,68,234,74,64
Vanilla Sundae,Emily Burns,2018-07-25,72,34,52,-9,62,210,89,48
Venice (Acoustic),Kris Allen,2017-04-07,106,13,58,-12,33,252,89,41
Video Child,Many Voices Speak,2016-10-28,120,50,57,-7,29,301,61,0
Volcanic Love,The Aces,2018-04-06,180,82,44,-4,57,206,1,50
Waiting for You,The Aces,2018-04-06,82,45,64,-8,50,257,33,58
warm blood,flor,2018-02-02,142,79,56,-5,47,247,1,50
Waterfalls,Memorecks,2016-01-15,179,44,37,-11,13,184,52,31
Waves,Dean Lewis,2016-09-30,157,76,52,-6,35,241,16,63
We Are Done (feat. Enya Angel),Tom Budin,2017-02-08,115,88,79,-6,15,181,3,20
We Move Lightly,Dustin O'Halloran,2011,150,13,18,-18,6,190,97,49
Weak,Wet,2016-01-29,132,32,63,-10,6,226,34,45
Weak When Ur Around,blackbear,2015-06-02,95,32,77,-13,57,170,68,68
